day,version,system,python_version,installer,downloads
2025-09-26,1.0.0,Linux,3.11.8,pip,2
2025-09-26,0.9.2,Linux,3.11.8,pip,1
2025-09-25,1.0.0,Linux,3.11.8,pip,8
2025-09-24,1.0.0,Linux,3.11.8,pip,4
2025-09-24,1.0.0,Linux,3.10.12,pip,2
2025-09-23,1.0.0,Linux,3.11.8,pip,2
2025-09-23,1.0.0,Linux,3.12.3,pip,2
2025-09-22,1.0.0,Linux,3.11.8,pip,4
2025-09-21,1.0.0,Linux,3.13.6,pip,2
2025-09-21,1.0.0,Linux,3.11.8,pip,22
2025-09-21,0.9.2,Linux,3.11.8,pip,9
2025-09-20,1.0.0,Linux,3.12.11,pip,2
2025-09-20,1.0.0,Darwin,3.9.6,pip,2
2025-09-19,1.0.0,Darwin,3.9.6,pip,2
2025-09-18,1.0.0,Linux,3.11.8,pip,12
2025-09-17,0.8.9,Linux,3.11.8,pip,1
2025-09-17,1.0.0,Windows,3.10.0,pip,1
2025-09-17,1.0.0,Linux,3.11.8,pip,14
2025-09-17,0.9.2,Linux,3.11.8,pip,1
2025-09-16,0.9.2,Linux,3.11.8,pip,1
2025-09-16,0.9.2,Linux,3.11.12,pip,7
2025-09-16,1.0.0,Linux,3.11.8,pip,10
2025-09-16,1.0.0,Windows,3.12.3,pip,2
2025-09-15,1.0.0,Linux,3.8.10,pip,2
2025-09-15,1.0.0,Linux,3.11.13,pip,2
2025-09-14,1.0.0,Windows,3.10.6,pip,2
2025-09-14,1.0.0,Linux,3.10.12,pip,2
2025-09-13,1.0.0,Windows,3.13.7,pip,2
2025-09-12,1.0.0,Windows,3.13.7,pip,2
2025-09-10,1.0.0,Windows,3.8.20,pip,2
2025-09-10,1.0.0,Darwin,3.13.7,pip,2
2025-09-09,1.0.0,Linux,3.10.18,pip,2
2025-09-09,1.0.0,Linux,3.10.12,pip,1
2025-09-09,0.9.2,Linux,3.10.12,pip,1
2025-09-09,1.0.0,Darwin,3.12.8,pip,2
2025-09-09,1.0.0,Windows,3.13.3,pip,2
2025-09-09,1.0.0,Linux,3.12.11,pip,2
2025-09-05,1.0.0,Linux,3.13.7,pip,2
2025-09-04,1.0.0,Windows,3.13.7,pip,2
2025-09-03,1.0.0,Windows,3.10.11,pip,1
2025-09-03,1.0.0,Linux,3.13.7,pip,2
2025-09-02,1.0.0,Linux,3.13.7,pip,5
2025-09-02,1.0.0,Linux,3.12.9,pip,6
2025-09-02,0.9.2,Linux,3.11.12,pip,7
2025-09-02,1.0.0,Windows,3.9.0,pip,2
2025-08-30,1.0.0,Darwin,3.13.5,uv,1
2025-08-29,1.0.0,Linux,3.10.18,pip,2
2025-08-29,0.9.2,Linux,3.11.12,pip,3
2025-08-29,1.0.0,Darwin,3.13.5,uv,1
2025-08-29,1.0.0,Windows,3.11.0,pip,1
2025-08-28,0.9.2,Linux,3.11.12,pip,7
2025-08-27,0.9.2,Linux,3.11.12,pip,10
2025-08-26,0.9.2,Linux,3.11.12,pip,5
2025-08-25,1.0.0,Darwin,3.13.7,pip,2
2025-08-25,0.9.2,Linux,3.11.12,pip,7
2025-08-24,1.0.0,Windows,3.13.5,pip,2
2025-08-23,0.9.2,Linux,3.11.12,pip,10
2025-08-22,1.0.0,Windows,3.13.1,pip,2
2025-08-21,1.0.0,Linux,3.13.7,pip,2
2025-08-19,0.9.2,Windows,2.7.18,pip,1
2025-08-19,1.0.0,Linux,3.10.18,pip,8
